#superClass	subClass
Novel	LightNovel
DUL.owl#UnitOfMeasure	Currency
DUL.owl#NaturalPerson	MusicalArtist
Region	HistoricalRegion
Region	AdministrativeRegion
Region	NaturalRegion
DUL.owl#Collection	List
DUL.owl#InformationEntity	Work
DUL.owl#InformationEntity	SportCompetitionResult
DUL.owl#InformationEntity	ProgrammingLanguage
DUL.owl#InformationEntity	Flag
DUL.owl#InformationEntity	Language
DUL.owl#InformationEntity	Letter
DUL.owl#InformationEntity	Imdb
DUL.owl#InformationEntity	Blazon
DUL.owl#InformationEntity	Name
VolleyballPlayer	BeachVolleyballPlayer
DUL.owl#Collective	EthnicGroup
WrittenWork	Comic
WrittenWork	Drama
WrittenWork	Comics
WrittenWork	PeriodicalLiterature
WrittenWork	Play
WrittenWork	Book
WrittenWork	StatedResolution
WrittenWork	Poem
WrittenWork	MultiVolumePublication
WrittenWork	Resume
WrittenWork	Installment
WrittenWork	Annotation
RouteOfTransportation	RoadTunnel
RouteOfTransportation	Road
RouteOfTransportation	RailwayTunnel
RouteOfTransportation	RailwayLine
RouteOfTransportation	Bridge
RouteOfTransportation	RoadJunction
RouteOfTransportation	WaterwayTunnel
GeneLocation	HumanGeneLocation
GeneLocation	MouseGeneLocation
Municipality	FormerMunicipality
UnitOfWork	Project
UnitOfWork	Case
District	HistoricalDistrict
PublicService	PublicServiceInput
PublicService	PublicServiceOutput
SportsTeamSeason	FootballLeagueSeason
SportsTeamSeason	SoccerLeagueSeason
SportsTeamSeason	BaseballSeason
SportsTeamSeason	NCAATeamSeason
SportsTeamSeason	SoccerClubSeason
Organisation	GeopoliticalOrganisation
Organisation	ClericalOrder
Organisation	MilitaryUnit
Organisation	Company
Organisation	SambaSchool
Organisation	Group
Organisation	Parliament
Organisation	Broadcaster
Organisation	Band
Organisation	PublicTransitSystem
Organisation	SportsLeague
Organisation	EducationalInstitution
Organisation	GovernmentAgency
Organisation	ComedyGroup
Organisation	Non-ProfitOrganisation
Organisation	Legislature
Organisation	TradeUnion
Organisation	SportsTeam
Organisation	TermOfOffice
Organisation	PoliticalParty
Food	Beverage
Food	Cheese
PersonalEvent	Divorce
PersonalEvent	Birth
PersonalEvent	Death
PersonalEvent	Marriage
AdministrativeRegion	ClericalAdministrativeRegion
AdministrativeRegion	GovernmentalAdministrativeRegion
DUL.owl#Concept	GovernmentType
DUL.owl#Concept	TopicalConcept
DUL.owl#Concept	MusicGenre
EducationalInstitution	College
EducationalInstitution	Library
EducationalInstitution	School
EducationalInstitution	University
Island	Atoll
RaceTrack	Racecourse
SportCompetitionResult	OlympicResult
AnatomicalStructure	Muscle
AnatomicalStructure	Vein
AnatomicalStructure	Lymph
AnatomicalStructure	Ligament
AnatomicalStructure	Brain
AnatomicalStructure	Nerve
AnatomicalStructure	Embryology
AnatomicalStructure	Bone
AnatomicalStructure	Artery
DUL.owl#BiologicalObject	AnatomicalStructure
DUL.owl#BiologicalObject	Biomolecule
Instrumentalist	Guitarist
DUL.owl#InformationObject	Database
AmusementParkAttraction	WaterRide
AmusementParkAttraction	RollerCoaster
Satellite	ArtificialSatellite
Wine	ControlledDesignationOfOriginWine
Device	Instrument
Device	Weapon
Device	Camera
Device	AutomobileEngine
Device	InformationAppliance
Sport	Boxing
Sport	HorseRiding
Sport	Athletics
MusicalArtist	MusicDirector
MusicalArtist	ClassicalMusicArtist
MusicalArtist	BackScene
MusicalArtist	Instrumentalist
MusicalArtist	Singer
DUL.owl#Role	SnookerWorldRanking
DUL.owl#Role	PersonFunction
Country	HistoricalCountry
Project	ResearchProject
Type	GovernmentType
Type	DocumentType
OrganisationMember	SportsTeamMember
Tower	WaterTower
Tower	Lighthouse
Presenter	RadioHost
Presenter	TelevisionHost
FictionalCharacter	ComicsCharacter
FictionalCharacter	DisneyCharacter
FictionalCharacter	NarutoCharacter
FictionalCharacter	SoapCharacter
Election	ElectionDiagram
Cartoon	Anime
Cartoon	HollywoodCartoon
TimePeriod	PeriodOfArtisticStyle
TimePeriod	GeologicalPeriod
TimePeriod	Year
TimePeriod	PrehistoricalPeriod
TimePeriod	YearInSpaceflight
TimePeriod	ProtohistoricalPeriod
TimePeriod	HistoricalPeriod
Product	Instrument
Product	Weapon
Product	Automobile
Product	Ship
Product	Locomotive
Product	Aircraft
Species	Eukaryote
Species	Archaea
Species	Bacteria
FootballLeagueSeason	NationalFootballLeagueSeason
Department	OverseasDepartment
GovernmentalAdministrativeRegion	Municipality
GovernmentalAdministrativeRegion	Regency
GovernmentalAdministrativeRegion	MicroRegion
GovernmentalAdministrativeRegion	Province
GovernmentalAdministrativeRegion	SubMunicipality
GovernmentalAdministrativeRegion	District
GovernmentalAdministrativeRegion	DistrictWaterBoard
DUL.owl#Organism	Species
Instrument	Guitar
Instrument	Organ
Event	SocietalEvent
Event	LifeCycleEvent
Event	NaturalEvent
Activity	Game
Activity	Sport
NaturalPlace	MountainPass
NaturalPlace	Desert
NaturalPlace	BodyOfWater
NaturalPlace	Glacier
NaturalPlace	Mountain
NaturalPlace	Crater
NaturalPlace	Valley
NaturalPlace	Volcano
NaturalPlace	Archipelago
NaturalPlace	MountainRange
NaturalPlace	Cave
NaturalPlace	HotSpring
Province	HistoricalProvince
Wrestler	SumoWrestler
List	TrackList
owl#Thing	PenaltyShootOut
owl#Thing	Device
owl#Thing	HumanDevelopmentIndex
owl#Thing	Sales
owl#Thing	Agent
owl#Thing	Polyhedron
owl#Thing	Imdb
owl#Thing	List
owl#Thing	Drug
owl#Thing	Population
owl#Thing	SportCompetitionResult
owl#Thing	SportsSeason
owl#Thing	TopicalConcept
owl#Thing	Demographics
owl#Thing	Diploma
owl#Thing	AnatomicalStructure
owl#Thing	PersonFunction
owl#Thing	Colour
owl#Thing	Tax
owl#Thing	Language
owl#Thing	MeanOfTransportation
owl#Thing	Altitude
owl#Thing	Blazon
owl#Thing	Swarm
owl#Thing	Place
owl#Thing	CelestialBody
owl#Thing	Species
owl#Thing	Listen
owl#Thing	Award
owl#Thing	CareerStation
owl#Thing	Statistic
owl#Thing	Depth
owl#Thing	TimePeriod
owl#Thing	Holiday
owl#Thing	Flag
owl#Thing	Unknown
owl#Thing	ChartsPlacements
owl#Thing	Food
owl#Thing	Media
owl#Thing	Event
owl#Thing	Biomolecule
owl#Thing	Disease
owl#Thing	SnookerWorldRanking
owl#Thing	Satellite
owl#Thing	Work
owl#Thing	ChemicalSubstance
owl#Thing	Activity
owl#Thing	Currency
owl#Thing	GrossDomesticProductPerCapita
owl#Thing	Letter
owl#Thing	Competition
owl#Thing	GeneLocation
owl#Thing	EthnicGroup
owl#Thing	UnitOfWork
owl#Thing	GrossDomesticProduct
owl#Thing	Area
owl#Thing	Name
Swarm	Openswarm
Swarm	Globularswarm
DUL.owl#Description	Tax
DUL.owl#Description	Award
DUL.owl#Description	PublicService
SocietalEvent	MusicFestival
SocietalEvent	MilitaryConflict
SocietalEvent	SpaceMission
SocietalEvent	Meeting
SocietalEvent	SportsEvent
SocietalEvent	Convention
SocietalEvent	FilmFestival
SocietalEvent	Election
Eukaryote	Animal
Eukaryote	Plant
Eukaryote	Fungus
PeriodicalLiterature	AcademicJournal
PeriodicalLiterature	Magazine
PeriodicalLiterature	Newspaper
Monument	GraveMonument
Monument	Memorial
Boxing	BoxingCategory
Boxing	BoxingStyle
TelevisionPersonality	Host
DUL.owl#PlanExecution	Project
Boxer	AmateurBoxer
Agent	Organisation
Agent	Deity
Agent	Family
MusicGroup	MusicalArtist
MusicGroup	Band
ChemicalSubstance	Mineral
ChemicalSubstance	ChemicalElement
ChemicalSubstance	ChemicalCompound
Software	ProgrammingLanguage
Software	VideoGame
Mill	Watermill
Mill	WindMotor
Mill	Treadmill
Mill	Windmill
Coach	VolleyballCoach
Coach	CollegeCoach
Coach	AmericanFootballCoach
ArchitecturalStructure	Infrastructure
ArchitecturalStructure	MilitaryStructure
ArchitecturalStructure	Gate
ArchitecturalStructure	Venue
ArchitecturalStructure	Building
ArchitecturalStructure	Tunnel
ArchitecturalStructure	Mill
ArchitecturalStructure	Zoo
ArchitecturalStructure	Tower
ArchitecturalStructure	NoteworthyPartOfBuilding
ArchitecturalStructure	Shrine
ArchitecturalStructure	Square
ArchitecturalStructure	AmusementParkAttraction
ArchitecturalStructure	Arena
ArchitecturalStructure	Pyramid
Non-ProfitOrganisation	RecordOffice
MotorcycleRider	SpeedwayRider
DUL.owl#Situation	LegalCase
DUL.owl#Situation	CareerStation
DUL.owl#Situation	Disease
DUL.owl#Situation	Sales
DUL.owl#Situation	UnitOfWork
d0.owl#Location	Monastery
d0.owl#Location	GeneLocation
d0.owl#Location	Place
Artwork	Painting
Artwork	Sculpture
Cleric	ChristianBishop
Cleric	ChristianPatriarch
Cleric	Cardinal
Cleric	Priest
Cleric	Pope
Cleric	Vicar
Cleric	Saint
Camera	DigitalCamera
LifeCycleEvent	PersonalEvent
Royalty	PolishKing
Royalty	BritishRoyalty
SportsSeason	SportsTeamSeason
SportsSeason	MotorsportSeason
BritishRoyalty	Baronet
ClericalAdministrativeRegion	Deanery
ClericalAdministrativeRegion	Diocese
ClericalAdministrativeRegion	Parish
Star	BrownDwarf
Settlement	HistoricalSettlement
Settlement	Village
Settlement	City
Settlement	CityDistrict
Settlement	Town
owl#Thing	PublicService
Criminal	SerialKiller
Criminal	Murderer
Tournament	TennisTournament
Tournament	WomensTennisAssociationTournament
Tournament	GolfTournament
Tournament	SoccerTournament
Family	NobleFamily
DUL.owl#Quality	Colour
Crater	LunarCrater
LegalCase	SupremeCourtOfTheUnitedStatesCase
Olympics	OlympicEvent
Person	Scientist
Person	MythologicalFigure
Person	Psychologist
Person	Linguist
Person	Royalty
Person	Producer
Person	Religious
Person	Architect
Person	HorseTrainer
Person	Judge
Person	OrganisationMember
Person	Model
Person	Referee
Person	Aristocrat
Person	MovieDirector
Person	MilitaryPerson
Person	BusinessPerson
Person	Engineer
Person	BeautyQueen
Person	Presenter
Person	Chef
Person	PoliticianSpouse
Person	Farmer
Person	OfficeHolder
Person	Cleric
Person	FictionalCharacter
Person	TheatreDirector
Person	Celebrity
Person	Politician
Person	TelevisionPersonality
Person	Lawyer
Person	Monarch
Person	Journalist
Person	Ambassador
Person	Athlete
Person	PlayboyPlaymate
Person	TelevisionDirector
Person	Historian
Person	RomanEmperor
Person	Astronaut
Person	Coach
Person	Philosopher
Person	Employer
Person	SportsManager
Person	Egyptologist
Person	Noble
Person	Criminal
Person	Bullfighter
Person	Artist
Person	Economist
Person	Archeologist
Building	Hotel
Building	Museum
Building	Factory
Building	Prison
Building	HistoricBuilding
Building	Hospital
Building	Library
Building	ShoppingMall
Building	Casino
Building	Skyscraper
Building	Castle
Building	Restaurant
Building	ReligiousBuilding
Song	EurovisionSongContestEntry
MusicalWork	Single
MusicalWork	Album
MusicalWork	ClassicalMusicComposition
MusicalWork	Song
MusicalWork	NationalAnthem
MusicalWork	ArtistDiscography
MusicalWork	Opera
CelestialBody	Constellation
CelestialBody	Planet
CelestialBody	Asteroid
CelestialBody	Star
CelestialBody	Galaxy
ReligiousBuilding	Mosque
ReligiousBuilding	Church
ReligiousBuilding	Temple
ReligiousBuilding	Synagogue
SportsEvent	Tournament
SportsEvent	GrandPrix
SportsEvent	Olympics
SportsEvent	CyclingCompetition
SportsEvent	Race
SportsEvent	WrestlingEvent
SportsEvent	FootballMatch
SportsEvent	NationalFootballLeagueEvent
SportsEvent	MixedMartialArtsEvent
Politician	MemberOfParliament
Politician	Senator
Politician	PrimeMinister
Politician	VicePrimeMinister
Politician	Lieutenant
Politician	Deputy
Politician	VicePresident
Politician	Chancellor
Politician	Governor
Politician	Congressman
Politician	Mayor
Politician	President
Athlete	HorseRider
Athlete	BullFighter
Athlete	Gymnast
Athlete	BadmintonPlayer
Athlete	Skater
Athlete	GridironFootballPlayer
Athlete	SoccerPlayer
Athlete	Rower
Athlete	MotorsportRacer
Athlete	Cricketer
Athlete	PokerPlayer
Athlete	NationalCollegiateAthleticAssociationAthlete
Athlete	Wrestler
Athlete	Skier
Athlete	Canoeist
Athlete	RugbyPlayer
Athlete	IceHockeyPlayer
Athlete	AthleticsPlayer
Athlete	Surfer
Athlete	GolfPlayer
Athlete	LacrossePlayer
Athlete	Curler
Athlete	Boxer
Athlete	NetballPlayer
Athlete	GaelicGamesPlayer
Athlete	BaseballPlayer
Athlete	Cyclist
Athlete	Fencer
Athlete	MartialArtist
Athlete	DartsPlayer
Athlete	Swimmer
Athlete	SquashPlayer
Athlete	AustralianRulesFootballPlayer
Athlete	TennisPlayer
Athlete	FigureSkater
Athlete	VolleyballPlayer
Athlete	WaterPoloPlayer
Athlete	ChessPlayer
Athlete	Jockey
Athlete	TableTennisPlayer
Athlete	HandballPlayer
Athlete	SnookerPlayer
Athlete	Bodybuilder
Athlete	BasketballPlayer
Athlete	TeamMember
Competition	Contest
SportsTeam	BaseballTeam
SportsTeam	SoccerClub
SportsTeam	HandballTeam
SportsTeam	CyclingTeam
SportsTeam	CanadianFootballTeam
SportsTeam	CricketTeam
SportsTeam	RugbyClub
SportsTeam	SpeedwayTeam
SportsTeam	FormulaOneTeam
SportsTeam	AustralianFootballTeam
SportsTeam	BasketballTeam
SportsTeam	HockeyTeam
SportsTeam	AmericanFootballTeam
Festival	MusicFestival
Festival	FilmFestival
MeanOfTransportation	Rocket
MeanOfTransportation	Spacecraft
MeanOfTransportation	Locomotive
MeanOfTransportation	SpaceStation
MeanOfTransportation	Motorcycle
MeanOfTransportation	Automobile
MeanOfTransportation	Train
MeanOfTransportation	Ship
MeanOfTransportation	SpaceShuttle
MeanOfTransportation	Aircraft
Database	BiologicalDatabase
GridironFootballPlayer	AmericanFootballPlayer
GridironFootballPlayer	CanadianFootballPlayer
BodyOfWater	Ocean
BodyOfWater	Lake
BodyOfWater	Stream
BodyOfWater	Sea
Beverage	Wine
Beverage	Beer
Mammal	RaceHorse
Mammal	Dog
FloweringPlant	Grape
SnookerPlayer	SnookerChamp
Broadcaster	TelevisionStation
Broadcaster	BroadcastNetwork
Broadcaster	RadioStation
Station	RailwayStation
Station	MetroStation
Work	MusicalWork
Work	Website
Work	Software
Work	Musical
Work	CollectionOfValuables
Work	RadioProgram
Work	Film
Work	Database
Work	TelevisionSeason
Work	LineOfFashion
Work	Artwork
Work	TelevisionEpisode
Work	Document
Work	WrittenWork
Work	TelevisionShow
Work	Cartoon
SoccerClub	NationalSoccerClub
SportsManager	SoccerManager
Scientist	Medician
Scientist	Professor
Scientist	Entomologist
Plant	ClubMoss
Plant	FloweringPlant
Plant	Fern
Plant	GreenAlga
Plant	Ginkgo
Plant	Moss
Plant	CultivatedVariety
Plant	Cycad
Plant	Gnetophytes
Plant	Conifer
Writer	MusicComposer
Writer	Poet
Writer	ScreenWriter
Writer	PlayWright
Writer	SongWriter
DUL.owl#SocialPerson	Band
City	CapitalOfRegion
City	Capital
Artist	Humorist
Artist	Painter
Artist	Sculptor
Artist	FashionDesigner
Artist	Comedian
Artist	Photographer
Artist	ComicsCreator
Artist	Actor
Artist	MusicalArtist
Artist	Dancer
Artist	Writer
DUL.owl#DesignedArtifact	MeanOfTransportation
DUL.owl#DesignedArtifact	Device
PopulatedPlace	Agglomeration
PopulatedPlace	Country
PopulatedPlace	Street
PopulatedPlace	Continent
PopulatedPlace	State
PopulatedPlace	GatedCommunity
PopulatedPlace	Settlement
PopulatedPlace	Region
PopulatedPlace	Prefecture
PopulatedPlace	Locality
PopulatedPlace	Intercommunality
PopulatedPlace	Island
PopulatedPlace	Department
PopulatedPlace	Territory
Comics	Manhwa
Comics	Manga
Comics	ComicStrip
Comics	Manhua
DUL.owl#FunctionalSubstance	Food
DUL.owl#FunctionalSubstance	Drug
Document	Image
Document	Sound
Document	File
CollectionOfValuables	Archive
DUL.owl#TimeInterval	Year
DUL.owl#TimeInterval	Holiday
SportsLeague	RadioControlledRacingLeague
SportsLeague	MotorcycleRacingLeague
SportsLeague	GolfLeague
SportsLeague	MixedMartialArtsLeague
SportsLeague	SoccerLeague
SportsLeague	BowlingLeague
SportsLeague	HandballLeague
SportsLeague	CricketLeague
SportsLeague	FieldHockeyLeague
SportsLeague	TennisLeague
SportsLeague	FormulaOneRacing
SportsLeague	BoxingLeague
SportsLeague	AustralianFootballLeague
SportsLeague	BaseballLeague
SportsLeague	PaintballLeague
SportsLeague	AmericanFootballLeague
SportsLeague	CanadianFootballLeague
SportsLeague	BasketballLeague
SportsLeague	VideogamesLeague
SportsLeague	IceHockeyLeague
SportsLeague	AutoRacingLeague
SportsLeague	CyclingLeague
SportsLeague	VolleyballLeague
SportsLeague	InlineHockeyLeague
SportsLeague	SpeedwayLeague
SportsLeague	CurlingLeague
SportsLeague	RugbyLeague
SportsLeague	LacrosseLeague
SportsLeague	PoloLeague
SportsLeague	SoftballLeague
Award	NobelPrize
Award	Decoration
PowerStation	NuclearPowerStation
Infrastructure	Lock
Infrastructure	RouteOfTransportation
Infrastructure	LaunchPad
Infrastructure	PowerStation
Infrastructure	Port
Infrastructure	Airport
Infrastructure	Station
Infrastructure	Dam
Annotation	Reference
Genre	MusicGenre
Genre	MovieGenre
Place	Cemetery
Place	HistoricPlace
Place	Garden
Place	NaturalPlace
Place	SportFacility
Place	Community
Place	CountrySeat
Place	SkiArea
Place	Mountain
Place	WorldHeritageSite
Place	ProtectedArea
Place	Abbey
Place	WineRegion
Place	ArchitecturalStructure
Place	SiteOfSpecialScientificInterest
Place	Monument
Place	Monastery
Place	Park
Place	PopulatedPlace
Place	SkiResort
RacingDriver	FormulaOneRacer
RacingDriver	MotocycleRacer
RacingDriver	RallyDriver
RacingDriver	NascarDriver
Actor	AdultActor
Actor	VoiceActor
DUL.owl#Configuration	Swarm
NaturalEvent	SolarEclipse
DUL.owl#Entity	Unknown
Image	MovingImage
Image	StillImage
Territory	OldTerritory
Stream	River
Stream	Canal
Biomolecule	Gene
Biomolecule	Enzyme
Biomolecule	Protein
SportFacility	GolfCourse
SportFacility	Stadium
SportFacility	RaceTrack
SportFacility	CricketGround
DUL.owl#SpaceRegion	Polyhedron
TopicalConcept	Fashion
TopicalConcept	SystemOfLaw
TopicalConcept	Ideology
TopicalConcept	Genre
TopicalConcept	Taxon
TopicalConcept	ChristianDoctrine
TopicalConcept	Type
PersonFunction	Profession
PersonFunction	PoliticalFunction
Game	BoardGame
Company	RecordLabel
Company	Airline
Company	BusCompany
Company	LawFirm
Company	Brewery
Company	Publisher
Company	Winery
d0.owl#CognitiveEntity	Ideology
MotorsportRacer	MotorcycleRider
MotorsportRacer	RacingDriver
Race	HorseRace
Race	CyclingRace
ComicsCharacter	AnimangaCharacter
Name	GivenName
Name	Surname
Organization	Group
DUL.owl#Event	PenaltyShootOut
DUL.owl#Event	Listen
Case	LegalCase
Venue	Theatre
Book	Novel
Animal	Bird
Animal	Crustacean
Animal	Fish
Animal	Mammal
Animal	Insect
Animal	Reptile
Animal	Mollusca
Animal	Arachnid
Animal	Amphibian
DUL.owl#PhysicalBody	CelestialBody
Gene	HumanGene
Gene	MouseGene
